shipment_id,origin,destination,distance_km,package_weight_kg,weather_severity,traffic_level,dispatch_hour,delay_hours,is_delayed
35,Chennai,Singapore,2816,18.39,1,4,15,74.44209180304952,0
36,Kolkata,New York,7858,3.11,1,2,12,163.65888110917547,1
37,Chennai,Dubai,4432,5.61,4,1,2,97.61714958013259,0
38,Kolkata,Dubai,6704,8.25,4,3,14,146.97659250579903,1
39,Delhi,Singapore,1787,5.53,4,4,22,42.614837465481635,0
40,Mumbai,New York,1618,9.84,3,3,19,35.626046730850675,0
41,Bangalore,Singapore,8137,14.03,0,3,5,164.70002415442565,1
42,Delhi,New York,1160,17.15,4,4,21,42.264452870186865,0
43,Bangalore,Singapore,7422,24.1,2,1,3,151.76321464727002,1
44,Mumbai,London,8604,23.28,4,3,14,181.43197975598855,1
45,Mumbai,London,6837,14.3,3,1,17,140.50412697928118,1
46,Delhi,Frankfurt,3029,18.38,0,1,8,61.89171560763661,0
47,Mumbai,Singapore,4470,23.78,4,4,19,111.9105396705082,1
48,Kolkata,Dubai,3907,2.18,0,3,3,83.38401307151439,0
49,Mumbai,Frankfurt,7916,0.24,2,3,15,163.3885129731257,1
50,Bangalore,London,5260,0.84,1,4,17,114.82622814540817,1
51,Bangalore,Singapore,2397,14.13,0,1,4,58.71541802880768,0
52,Bangalore,Frankfurt,6864,19.09,4,1,12,142.76587640532193,1
53,Bangalore,Singapore,8964,9.24,3,4,5,185.87497495784527,1
54,Kolkata,London,4587,13.68,3,1,21,95.73504365134791,0
55,Chennai,Frankfurt,4874,12.96,3,1,18,104.62381868174216,0
56,Delhi,London,8107,2.46,3,3,11,176.0812047541267,1
57,Bangalore,New York,4519,8.11,0,1,14,97.41441789341123,0
58,Mumbai,London,1315,0.58,3,1,8,27.571413630188356,0
59,Bangalore,Singapore,7755,2.86,1,1,6,153.84577332770465,1
60,Mumbai,Dubai,1422,20.32,2,1,13,31.823688703062547,0
61,Mumbai,London,5367,20.75,0,4,18,118.76246512348449,1
62,Bangalore,Dubai,1764,20.07,0,4,19,36.979960511738724,0
63,Kolkata,New York,4224,18.2,3,4,15,93.94336544791152,0
64,Mumbai,Frankfurt,3222,19.85,3,1,22,67.97628135294026,0
65,Mumbai,Frankfurt,5855,16.81,0,4,23,129.80874427682187,1
66,Bangalore,Dubai,3050,16.78,3,2,21,72.14130380332219,0
67,Mumbai,Frankfurt,5819,16.72,3,2,3,129.3985918052496,1
68,Mumbai,London,7186,12.9,3,2,11,158.91338987116526,1
69,Bangalore,Dubai,2173,9.15,3,3,17,52.4317495245546,0
70,Bangalore,Singapore,5087,18.28,3,1,7,102.3029692257316,0
71,Delhi,London,5853,7.54,4,3,16,123.1551819107649,1
72,Kolkata,London,7357,13.62,4,4,23,151.94946217470581,1
73,Kolkata,London,2166,10.89,4,1,2,49.026165851669035,0
74,Mumbai,Singapore,5011,6.99,0,2,3,102.2988869258413,0
75,Kolkata,New York,6672,24.37,2,1,9,142.37776703402523,1
76,Mumbai,Frankfurt,1884,6.54,0,3,15,43.76457108588302,0
77,Delhi,Dubai,4903,7.8,4,4,19,109.60835777828697,1
78,Bangalore,New York,4454,4.12,0,4,1,96.50000636919707,0
79,Bangalore,Dubai,6805,20.59,2,3,11,139.9051325814262,1
80,Bangalore,Frankfurt,8752,14.71,3,1,15,186.66703285375644,1
81,Kolkata,Singapore,7738,15.36,1,3,9,158.33042218595244,1
82,Delhi,London,7481,20.53,4,4,4,157.92034364032054,1
83,Kolkata,London,6526,8.64,4,2,11,144.60940983353737,1
84,Kolkata,Singapore,7109,4.92,2,4,2,156.05082104181926,1
85,Delhi,New York,1458,5.04,3,4,11,33.04157310720494,0
86,Delhi,New York,993,18.34,3,1,0,30.63500817355111,0
87,Delhi,Dubai,7542,15.39,1,2,1,152.63203680452972,1
88,Delhi,Singapore,581,5.24,3,4,10,22.2494773621804,0
89,Bangalore,New York,7499,3.71,2,2,11,157.9151005384697,1
90,Chennai,Singapore,3470,3.11,3,3,6,82.83312441308411,0
91,Chennai,Frankfurt,511,15.73,2,1,0,17.44739587343763,0
92,Delhi,London,8324,0.1,4,2,12,176.23090834546997,1
93,Chennai,London,1261,0.56,4,2,12,33.09678335542044,0
94,Chennai,London,3685,9.8,4,1,1,83.76110346782724,0
95,Delhi,Singapore,525,17.31,0,3,9,15.90806081327886,0
96,Chennai,Singapore,2306,17.41,4,2,22,65.14677229562962,0
97,Kolkata,Dubai,7151,10.81,2,1,0,150.95204504984952,1
98,Mumbai,London,6164,17.31,1,4,6,128.16292187504823,1
99,Mumbai,Dubai,5654,13.08,3,1,12,117.19200024313174,1
100,Delhi,London,6324,24.43,4,4,23,140.72096088629917,1
101,Bangalore,Dubai,4159,4.15,0,2,1,93.67715607535229,0
102,Delhi,Dubai,2025,15.06,0,2,19,51.55552504556068,0
103,Bangalore,Frankfurt,1260,12.33,2,2,6,30.219326398172182,0
104,Mumbai,Dubai,1094,4.94,1,3,16,24.711828917052785,0
105,Delhi,Singapore,7692,18.77,4,3,21,160.53251179396906,1
106,Kolkata,Dubai,1555,6.96,4,4,4,46.3621437860789,0
107,Chennai,London,3583,9.6,0,1,10,85.17892154608747,0
108,Bangalore,Dubai,4175,9.43,2,4,21,97.19547052127551,0
109,Chennai,New York,6457,6.18,0,1,23,123.17043736657997,1
110,Chennai,London,5755,10.82,0,2,10,115.46997948377,1
111,Delhi,New York,4728,11.89,1,1,10,94.94042899077544,0
112,Chennai,London,4681,18.63,2,3,16,98.50998739942547,0
113,Kolkata,Singapore,2330,19.15,1,1,18,48.1605308753289,0
114,Chennai,Singapore,3895,4.05,2,1,7,84.74697430509971,0
115,Delhi,Singapore,1703,14.86,4,2,19,47.46990584661324,0
116,Kolkata,New York,3310,22.42,3,2,13,80.15881745458321,0
117,Mumbai,Frankfurt,3592,2.81,3,3,9,84.96101286523589,0
118,Chennai,London,3544,11.88,2,1,6,66.1092487983558,0
119,Delhi,Singapore,6571,18.78,3,1,1,132.63347706234345,1
120,Mumbai,London,7772,15.33,0,1,16,156.64952981570403,1
121,Mumbai,New York,5173,2.6,4,2,0,114.1963992788374,1
122,Bangalore,Frankfurt,4014,9.98,4,3,12,96.58709179938128,0
123,Kolkata,New York,6692,12.73,3,1,18,140.55592088108386,1
124,Chennai,London,644,24.9,2,1,13,18.133536269318373,0
125,Delhi,Frankfurt,8007,4.55,0,1,17,163.32898681569532,1
126,Bangalore,Frankfurt,5357,24.56,2,1,19,110.864891306094,1
127,Kolkata,New York,1877,9.47,3,3,13,48.47442569938906,0
128,Bangalore,Singapore,3646,5.09,4,3,14,90.54916089505875,0
129,Kolkata,London,5524,10.41,4,3,13,122.06044550607999,1
130,Kolkata,Dubai,1293,15.39,2,2,23,32.70893636607858,0
131,Chennai,Dubai,6256,5.42,1,1,4,128.45207297616406,1
132,Kolkata,New York,4914,7.36,2,1,15,109.76886906895585,1
133,Bangalore,London,1610,21.38,1,1,4,30.15973336585279,0
134,Kolkata,London,6172,24.98,2,1,21,137.319234473956,1
135,Chennai,New York,4553,8.02,1,4,12,94.67809072742244,0
136,Chennai,London,4437,3.81,1,3,15,92.9688986933612,0
137,Bangalore,Singapore,4463,19.85,1,4,14,102.4836913485766,0
138,Mumbai,New York,5442,15.05,1,4,4,123.49158347736837,1
139,Mumbai,Singapore,6397,2.6,0,2,20,124.92250491500755,1
140,Kolkata,London,1616,23.67,1,2,22,32.35649068376457,0
141,Delhi,New York,2250,2.04,1,1,5,49.88921404735924,0
142,Kolkata,London,4527,15.67,4,4,12,116.26209693881898,1
143,Bangalore,New York,6245,10.66,0,4,15,139.13131390499342,1
144,Bangalore,London,5564,13.96,1,3,9,117.53951475184095,1
145,Bangalore,Singapore,6438,5.41,3,4,1,129.16435430962122,1
146,Bangalore,Singapore,3897,17.23,0,2,12,82.3482136721058,0
147,Bangalore,London,8765,24.0,4,4,16,191.11148401823277,1
148,Chennai,New York,1859,11.51,2,2,0,42.266524294585984,0
149,Mumbai,Dubai,5353,13.12,4,1,3,110.80638004726703,1
150,Bangalore,Singapore,2441,6.07,4,2,17,59.615826301606944,0
151,Delhi,Singapore,3648,22.31,0,1,5,70.2486940305302,0
152,Delhi,Dubai,8433,24.28,0,3,11,184.02224330404363,1
153,Delhi,London,1785,19.68,3,1,23,49.78372398766909,0
154,Delhi,New York,6974,13.62,3,4,19,155.2695631579638,1
155,Chennai,London,1270,23.92,0,2,12,29.848552845596583,0
156,Delhi,Frankfurt,2343,3.93,0,1,1,45.5591795669322,0
157,Bangalore,Singapore,573,12.01,0,1,16,13.356064080545496,0
158,Kolkata,Frankfurt,2160,13.49,2,1,22,56.396485676036384,0
159,Delhi,Singapore,4849,12.35,4,1,9,109.32327029218314,1
160,Chennai,Singapore,7602,20.08,3,1,18,159.5584613923823,1
161,Chennai,Frankfurt,8500,16.79,3,1,21,181.11987167083797,1
162,Delhi,Frankfurt,4318,3.25,1,2,4,94.58805331690414,0
163,Kolkata,London,831,8.73,2,4,20,29.601387699434362,0
164,Delhi,Frankfurt,1921,8.54,0,4,11,51.322816294957676,0
165,Chennai,London,8012,14.18,0,1,17,164.8251382241238,1
166,Mumbai,London,7390,7.36,2,2,8,159.0927573505169,1
167,Bangalore,London,5431,3.02,3,1,10,115.92693524817255,1
168,Chennai,Singapore,6525,16.38,0,3,3,135.22937088404947,1
169,Delhi,Singapore,4908,21.29,1,4,9,104.91918560529925,0
170,Bangalore,Frankfurt,5613,23.3,3,1,0,115.42345197264521,1
171,Delhi,Singapore,8919,24.32,4,2,1,180.35414778779233,1
172,Delhi,Frankfurt,3381,19.55,2,4,8,74.06030026594168,0
173,Mumbai,Singapore,3365,3.58,3,2,22,71.09573235208909,0
174,Bangalore,New York,3075,21.34,4,3,17,70.96327402007982,0
175,Bangalore,New York,6685,10.06,1,1,15,145.01122105319143,1
176,Mumbai,Frankfurt,6241,18.27,2,3,22,133.0321902222311,1
177,Chennai,Singapore,777,13.33,0,4,13,24.748834449421548,0
178,Delhi,Singapore,565,20.73,0,1,3,14.666598222559635,0
179,Kolkata,London,4762,10.7,4,4,1,117.17790456421183,1
180,Delhi,Dubai,6204,1.64,3,1,11,127.70207273077352,1
181,Delhi,Frankfurt,8489,13.96,1,2,19,174.1673895987097,1
182,Chennai,Dubai,6755,4.37,4,4,4,148.5690031411291,1
183,Delhi,Dubai,7941,24.14,1,3,3,172.00267427887383,1
184,Mumbai,Frankfurt,5192,13.22,1,3,14,118.06052846877228,1
185,Mumbai,Singapore,4919,13.88,1,2,2,106.25291909846972,1
186,Bangalore,Frankfurt,8460,22.69,2,2,21,182.36454687030943,1
187,Kolkata,Dubai,6578,15.65,4,3,16,144.44830498234495,1
188,Delhi,Singapore,1937,7.64,2,2,7,44.87698376191589,0
189,Delhi,New York,7532,7.47,3,1,11,163.03362043292813,1
190,Chennai,Frankfurt,6231,12.59,3,3,20,137.558088376169,1
191,Mumbai,Frankfurt,3878,21.68,0,4,7,81.8823466704621,0
192,Kolkata,Singapore,6847,19.89,0,3,19,147.92710469062175,1
193,Bangalore,New York,6901,24.07,0,2,19,140.97753684489862,1
194,Mumbai,New York,7129,1.89,3,1,4,147.425882386379,1
195,Bangalore,Singapore,5041,6.78,1,4,20,114.78502184099857,1
196,Chennai,London,8376,2.1,1,3,5,174.57583929577544,1
197,Chennai,Frankfurt,8824,18.8,4,3,4,190.42479268020145,1
198,Delhi,Frankfurt,764,3.61,3,4,20,31.089697920354,0
199,Kolkata,Dubai,1934,2.59,0,1,7,36.76528460363808,0
200,Bangalore,Singapore,5827,14.09,3,2,21,126.96425282341102,1
201,Mumbai,Dubai,5597,10.35,1,2,17,124.18736552630811,1
202,Chennai,Dubai,2160,17.91,1,2,3,43.91766428130195,0
203,Delhi,New York,6192,12.23,2,2,3,133.08954444415613,1
204,Delhi,Frankfurt,2854,10.69,2,4,4,63.93266132709856,0
205,Bangalore,Dubai,8957,10.69,4,1,14,192.246988419202,1
206,Chennai,New York,6961,21.81,3,1,5,150.77952791874884,1
207,Kolkata,Singapore,7544,9.94,2,3,20,158.1083882987545,1
208,Chennai,Dubai,5997,8.4,2,3,15,139.9881432609543,1
209,Bangalore,Frankfurt,5049,8.53,3,1,13,113.01312654568642,1
210,Bangalore,Dubai,6834,5.0,1,3,13,147.71464492568086,1
211,Chennai,Singapore,6510,21.53,4,1,15,141.45305448053065,1
212,Bangalore,Dubai,5426,3.75,4,4,21,127.43963454603112,1
213,Chennai,Frankfurt,6565,22.72,4,4,23,140.3217879637792,1
214,Mumbai,New York,2679,7.16,2,2,3,61.55303799230512,0
215,Chennai,Frankfurt,5467,22.5,1,1,10,114.75595192688664,1
216,Chennai,New York,1134,19.79,4,4,18,34.6793196834872,0
217,Bangalore,London,4131,14.59,3,1,18,91.44397634721983,0
218,Bangalore,Frankfurt,5177,16.77,4,3,7,121.69847150217004,1
219,Delhi,Frankfurt,2718,8.21,0,1,9,54.251154561170466,0
220,Delhi,Singapore,1889,14.4,1,2,4,43.00787849814347,0
221,Mumbai,Dubai,4776,7.38,0,2,15,95.41707352073027,0
222,Delhi,New York,1749,10.12,1,4,2,35.54505495094604,0
223,Chennai,New York,8140,19.14,3,3,9,177.19466090260258,1
224,Bangalore,Singapore,6212,6.17,2,3,23,133.11133102580376,1
225,Delhi,Singapore,1745,20.99,2,1,12,40.13789708576394,0
226,Delhi,Dubai,8745,9.46,1,3,6,177.46613190913237,1
227,Mumbai,Dubai,942,13.35,4,2,11,27.912482354819048,0
228,Mumbai,Frankfurt,7476,23.55,0,4,22,163.00296894591062,1
229,Chennai,London,5175,17.06,3,4,13,116.0041066838973,1
230,Bangalore,Dubai,8453,16.18,4,4,9,183.20591879027705,1
231,Mumbai,Singapore,4877,17.82,2,3,8,107.57764138931712,1
232,Delhi,Dubai,7558,22.96,4,3,11,156.97808935796772,1
233,Bangalore,New York,1322,6.29,0,2,23,33.56460232051179,0
234,Bangalore,London,3439,15.37,2,1,2,67.50400942542085,0
235,Delhi,Frankfurt,7596,10.07,1,1,12,150.7219220936049,1
236,Mumbai,New York,6265,0.4,3,4,5,132.5539261549642,1
237,Delhi,New York,1531,3.22,3,4,5,42.243875166847275,0
238,Bangalore,London,1062,8.19,2,3,20,28.477736482310714,0
239,Kolkata,Frankfurt,840,14.17,1,4,18,26.293874808458728,0
240,Kolkata,Singapore,5067,22.05,0,2,6,100.81371920111779,0
241,Chennai,Frankfurt,8362,19.8,3,2,3,180.7674766015319,1
242,Delhi,Dubai,2796,13.88,2,4,21,71.09013784363165,0
243,Delhi,New York,734,1.94,3,4,4,26.310932435541396,0
244,Chennai,Dubai,5702,7.22,1,4,0,121.14816641706031,1
245,Chennai,Singapore,1791,9.23,0,4,17,40.923212533274004,0
246,Chennai,Dubai,5227,15.58,1,4,16,112.48927502494661,1
247,Bangalore,Frankfurt,3439,1.72,4,2,8,71.77877385624411,0
248,Delhi,Dubai,5935,13.3,1,1,8,117.4019634389408,1
249,Bangalore,Singapore,7481,22.55,1,2,20,159.42060195992482,1
250,Chennai,Singapore,5892,17.67,3,2,23,127.84906243037935,1
251,Delhi,Singapore,8472,19.95,1,4,9,187.11137242988266,1
252,Bangalore,Frankfurt,1733,17.07,2,1,19,38.1640242491534,0
253,Bangalore,Singapore,3300,5.24,3,4,16,76.69243386446567,0
254,Chennai,New York,3275,2.85,3,2,12,71.96050537728176,0
255,Delhi,Singapore,6544,20.75,4,1,3,137.28417758390916,1
256,Chennai,Dubai,3987,17.42,2,3,22,85.44022993426701,0
257,Delhi,Dubai,7883,14.42,1,4,17,168.514941073436,1
258,Kolkata,Dubai,4350,4.81,4,3,17,99.14552033574206,0
259,Mumbai,Frankfurt,5497,15.12,2,3,21,116.39042749080863,1
260,Mumbai,Dubai,1390,0.88,4,3,8,46.05574456509451,0
261,Mumbai,Frankfurt,6420,3.06,0,3,2,143.88291461243153,1
262,Chennai,Frankfurt,1688,7.87,1,1,6,43.092886027867,0
263,Kolkata,Singapore,6144,11.15,4,4,14,139.67062006541698,1
264,Delhi,New York,1240,3.1,0,1,8,30.60884863131887,0
265,Bangalore,Singapore,1869,3.09,1,4,8,56.16207758913168,0
266,Delhi,Singapore,2500,18.17,4,4,3,67.80159657879712,0
267,Bangalore,Frankfurt,1971,14.29,4,4,17,50.494070737003575,0
268,Delhi,Frankfurt,2036,13.39,4,1,16,50.68136263325274,0
269,Kolkata,Dubai,818,11.37,4,2,21,29.491221330316588,0
270,Bangalore,Dubai,5653,24.42,3,3,20,118.5864136298204,1
271,Chennai,Singapore,2394,1.34,4,2,5,56.45534590678411,0
272,Delhi,London,8491,4.6,3,2,6,183.8219591202773,1
273,Delhi,London,6435,16.22,3,2,9,128.08253632475206,1
274,Bangalore,Dubai,1223,3.5,0,3,9,24.20785727479703,0
275,Chennai,London,2829,14.78,1,2,5,61.19796473185836,0
276,Chennai,Dubai,3270,14.24,3,3,5,77.66839797752853,0
277,Kolkata,Frankfurt,8045,24.28,2,3,18,163.11183777525548,1
278,Chennai,Singapore,5346,22.1,3,3,7,116.7860537416703,1
279,Chennai,New York,767,23.64,2,4,8,32.10884269544283,0
280,Chennai,Singapore,1069,2.93,0,4,0,29.723257285371417,0
281,Mumbai,Dubai,2473,21.72,2,2,15,61.15544471815565,0
282,Kolkata,Dubai,3322,3.31,0,4,5,71.47942939332498,0
283,Delhi,Singapore,4960,15.86,0,3,22,101.1504157160541,0
284,Bangalore,Dubai,770,18.03,0,4,7,27.644369151425238,0
285,Delhi,London,8141,4.11,2,3,14,173.66632767328093,1
286,Kolkata,London,7180,15.85,2,1,11,142.6720199611277,1
287,Bangalore,Dubai,1757,1.41,0,4,9,39.13579541918605,0
288,Kolkata,Dubai,8750,7.4,0,2,15,186.82290620528707,1
289,Chennai,London,5870,23.04,1,1,14,116.27722390265342,1
290,Bangalore,Dubai,5358,4.38,0,1,10,113.83164373362999,1
291,Chennai,Dubai,7499,1.73,4,4,23,161.58906651383148,1
292,Delhi,Singapore,620,11.15,1,4,6,21.884120716164343,0
293,Delhi,New York,7408,21.28,1,2,7,155.13296310471685,1
294,Bangalore,London,2803,2.01,1,1,10,49.05509394750201,0
295,Bangalore,Singapore,5361,8.95,4,3,8,111.9064133228635,1
296,Kolkata,New York,3411,22.5,1,4,6,78.15166509393582,0
297,Kolkata,Dubai,7736,3.04,1,1,14,154.5984621810806,1
298,Chennai,Dubai,6065,7.84,2,1,14,131.2829064763731,1
299,Bangalore,Singapore,7031,19.48,2,3,15,141.58939559565937,1
300,Delhi,Dubai,1609,13.63,0,1,2,37.00627528128994,0
301,Kolkata,Frankfurt,7429,20.83,0,4,15,149.6988938979784,1
302,Kolkata,Singapore,1750,2.88,3,3,14,43.739475029277855,0
303,Delhi,New York,8677,23.02,4,4,0,182.21811117881018,1
304,Kolkata,Singapore,2149,23.38,2,2,13,59.49214940235599,0
305,Chennai,London,7851,3.97,0,1,23,152.32253918514982,1
306,Bangalore,Singapore,6411,0.94,4,4,21,141.60970152315488,1
307,Delhi,Dubai,3456,24.75,1,4,10,69.98581925989924,0
308,Bangalore,Dubai,6328,12.11,4,2,2,144.55785061035294,1
309,Kolkata,Frankfurt,5494,14.34,2,1,8,116.88641208088602,1
310,Kolkata,Frankfurt,6936,15.44,3,4,5,151.90486544799333,1
311,Delhi,Frankfurt,8114,19.76,2,3,22,178.65156469645862,1
312,Chennai,New York,2215,20.32,0,4,15,53.03711220711307,0
313,Mumbai,Frankfurt,8650,4.93,0,4,10,182.09785678070537,1
314,Delhi,New York,3983,5.99,4,4,17,94.31862644032576,0
315,Mumbai,Frankfurt,8175,21.93,2,4,16,177.3181716272156,1
316,Mumbai,New York,2257,20.51,0,1,16,44.67779308039369,0
317,Chennai,Singapore,2309,15.48,1,4,2,54.60856346318334,0
318,Mumbai,Singapore,6039,24.87,1,2,18,130.33167314228723,1
319,Mumbai,Dubai,6548,18.41,3,4,23,144.8468647577894,1
320,Chennai,New York,1651,5.47,4,3,22,44.448780429489375,0
321,Mumbai,London,5992,21.18,0,3,14,118.83738804484645,1
322,Mumbai,Dubai,7211,10.43,3,4,9,164.21025142268297,1
323,Mumbai,Singapore,6802,1.0,1,4,7,142.23272945024613,1
324,Delhi,New York,5247,8.1,3,2,16,118.37618619209628,1
325,Delhi,Frankfurt,8902,19.11,3,2,3,187.41876825844042,1
326,Delhi,London,5181,24.01,0,1,7,99.15274738635065,0
327,Chennai,Singapore,3007,6.98,0,1,1,68.40137738765307,0
328,Kolkata,Dubai,3463,6.24,0,3,22,76.5327032319977,0
329,Mumbai,New York,3928,14.13,4,4,7,99.23672678368521,0
330,Mumbai,London,7994,20.31,3,4,6,171.4679564963204,1
331,Chennai,New York,4455,18.69,3,2,8,101.12025614983528,0
332,Mumbai,Frankfurt,4205,14.04,4,2,17,85.28736444327494,0
333,Delhi,Dubai,4538,15.82,1,1,16,91.75892068203122,0
334,Kolkata,New York,1213,6.13,2,1,0,22.895033338843643,0
335,Bangalore,Singapore,7760,10.87,1,3,11,160.82608074980806,1
336,Mumbai,Dubai,7511,6.46,4,2,3,162.5790586975307,1
337,Delhi,Singapore,2246,22.12,3,4,16,54.39709956172927,0
338,Bangalore,New York,1707,2.9,3,2,6,46.95921046819391,0
339,Kolkata,Dubai,1284,17.03,0,2,23,25.396936782249945,0
340,Bangalore,Singapore,3196,6.58,0,2,2,72.3461830682499,0
341,Delhi,Frankfurt,7573,11.94,3,1,0,164.5087858293702,1
342,Bangalore,Frankfurt,5536,7.56,3,4,18,128.28763067545492,1
343,Chennai,New York,7627,8.15,0,4,1,158.81905474085113,1
344,Bangalore,Dubai,4218,6.58,0,1,5,75.73273201027928,0
345,Mumbai,London,6275,18.84,1,1,10,131.91083498368673,1
346,Mumbai,Dubai,8410,9.21,3,4,22,180.0738264264235,1
347,Chennai,Frankfurt,3193,18.19,3,3,20,69.46803529936324,0
348,Delhi,Singapore,1125,11.46,4,2,3,29.71860467564795,0
349,Mumbai,London,4208,13.73,1,4,0,100.832126582224,0
350,Kolkata,New York,7359,13.63,2,1,10,146.49329899694922,1
351,Mumbai,London,8192,24.4,2,4,15,177.18154587810605,1
352,Mumbai,New York,6898,9.24,2,2,5,146.04979087818703,1
353,Delhi,London,7752,5.27,0,4,10,161.25306167668384,1
354,Bangalore,New York,2055,22.8,2,1,7,49.322663436565236,0
355,Mumbai,New York,4687,4.45,4,3,19,113.90122629449432,1
356,Chennai,London,8267,20.88,0,1,0,165.860142480569,1
357,Bangalore,London,536,3.84,0,3,13,15.504095259614493,0
358,Kolkata,New York,2287,16.5,2,2,20,55.850324524951,0
359,Delhi,Frankfurt,6783,3.85,0,1,20,142.251214107175,1
360,Kolkata,London,8560,23.08,1,4,1,180.06146396425683,1
361,Bangalore,Dubai,8565,14.17,1,1,5,173.27313131953176,1
362,Bangalore,Singapore,4380,8.3,2,1,8,81.51176739640121,0
363,Bangalore,New York,6432,3.59,4,2,13,134.74995543816723,1
364,Kolkata,New York,8828,9.34,0,3,21,176.86344163966226,1
365,Bangalore,Singapore,6833,17.65,3,3,7,150.58312498155945,1
366,Kolkata,Frankfurt,6259,9.69,2,4,2,134.9604852569958,1
367,Bangalore,Singapore,6985,6.23,0,1,9,140.2848919723054,1
368,Chennai,London,5567,14.48,2,2,17,118.2947186818851,1
369,Bangalore,Singapore,1161,10.5,2,3,19,27.869117649373,0
370,Kolkata,New York,8473,4.23,4,4,8,191.22623593344377,1
371,Mumbai,Singapore,6886,3.93,3,3,8,154.71096955848304,1
372,Bangalore,Dubai,8387,17.72,0,4,18,183.83053391523845,1
373,Mumbai,London,914,24.37,2,3,12,30.69708615619446,0
374,Chennai,Singapore,7350,5.9,2,4,0,157.85260942489032,1
375,Delhi,New York,3229,19.35,0,3,16,78.65364651503442,0
376,Chennai,London,4397,2.28,2,3,3,93.5351658204351,0
377,Bangalore,New York,2669,9.6,2,1,3,54.02395510483494,0
378,Mumbai,Frankfurt,2378,12.72,2,4,15,55.552442426150705,0
379,Mumbai,Dubai,6954,6.79,1,4,15,151.1943563345715,1
380,Kolkata,Frankfurt,5070,13.29,1,1,14,101.08947403306165,0
381,Mumbai,Dubai,2015,22.08,3,1,5,46.02313505891001,0
382,Kolkata,Singapore,1074,23.62,4,3,4,25.470723530576123,0
383,Delhi,London,3367,2.6,0,3,21,75.74548832714123,0
384,Bangalore,Singapore,4044,6.87,4,3,9,85.29448316408445,0
385,Kolkata,Dubai,4977,24.48,4,1,6,102.8791947256732,0
386,Delhi,Dubai,571,6.83,1,3,6,25.005835674483222,0
387,Mumbai,Dubai,3480,17.35,3,1,9,82.00159158493057,0
388,Mumbai,New York,5992,6.41,4,3,9,133.71156544773248,1
389,Delhi,London,5259,8.97,4,1,14,114.55831790867616,1
390,Mumbai,Singapore,8584,4.86,2,4,5,180.0252017642287,1
391,Delhi,Singapore,539,21.42,0,2,23,10.915481681288993,0
392,Kolkata,Frankfurt,5873,22.08,3,3,1,126.1487915112131,1
393,Kolkata,Dubai,8065,7.49,0,3,7,159.73172912768842,1
394,Delhi,Dubai,2400,20.61,1,1,19,52.76224277476832,0
395,Kolkata,Dubai,2717,9.02,4,4,14,68.58415562404205,0
396,Kolkata,Singapore,5296,2.57,4,4,20,115.25289366644867,1
